provider_id,name,type,address,city,contact
1,Smith Food Bank Restaurant,Restaurant,251 Main St,Port Sarah,+1-342-954-2679
2,Johnson Trust Bakery,Bakery,33 Main St,Richardfort,+1-295-423-4811
3,Martinez Foundation Bakery,Bakery,575 Main St,Port Sarah,+1-933-865-9928
4,Brown Mission Catering Service,Catering Service,604 Main St,East Amanda,+1-206-977-3615
5,Garcia Food Bank Catering Service,Catering Service,160 Main St,Port Sarah,+1-981-544-2674
6,Miller Relief Center Restaurant,Restaurant,368 Main St,West Jennifer,+1-818-470-1711
7,Rodriguez Relief Center Catering Service,Catering Service,997 Main St,South Robert,+1-280-765-5803
8,Garcia Outreach Bakery,Bakery,722 Main St,Lake Jessica,+1-246-877-4733
9,Johnson Outreach Supermarket,Supermarket,888 Main St,Lake Jessica,+1-589-484-8428
10,Williams Shelter Home Supermarket,Supermarket,364 Main St,Port Sarah,+1-886-473-2169
11,Williams Outreach Bakery,Bakery,168 Main St,North David,+1-588-476-4598
12,Smith Outreach Supermarket,Supermarket,842 Main St,Richardfort,+1-523-610-5386
13,Brown Shelter Home Restaurant,Restaurant,218 Main St,North David,+1-605-858-8517
14,Jones Community Kitchen Grocery Store,Grocery Store,253 Main St,Lake Christopher,+1-751-469-8019
15,Miller Shelter Home Bakery,Bakery,225 Main St,New Michael,+1-721-705-2489
16,Johnson Community Kitchen Restaurant,Restaurant,643 Main St,New Michael,+1-896-632-2040
17,Miller Mission Catering Service,Catering Service,542 Main St,East Amanda,+1-766-211-2876
18,Jones Shelter Home Bakery,Bakery,115 Main St,East Amanda,+1-645-361-8433
19,Jones Community Kitchen Restaurant,Restaurant,520 Main St,Lake Jessica,+1-840-505-9317
20,Brown Community Kitchen Bakery,Bakery,383 Main St,New Michael,+1-752-997-9689
21,Martinez Shelter Home Restaurant,Restaurant,501 Main St,Richardfort,+1-314-571-6038
22,Smith Outreach Grocery Store,Grocery Store,900 Main St,Jameschester,+1-280-287-8962
23,Rodriguez Community Kitchen Restaurant,Restaurant,132 Main St,North David,+1-762-369-5342
24,Martinez Trust Bakery,Bakery,988 Main St,Port Sarah,+1-752-973-4295
25,Miller Shelter Home Supermarket,Supermarket,449 Main St,Lake Christopher,+1-662-323-5061
26,Johnson Shelter Home Grocery Store,Grocery Store,22 Main St,Jameschester,+1-767-435-4608
27,Johnson Foundation Restaurant,Restaurant,235 Main St,Lake Jessica,+1-232-538-2160
28,Brown Food Bank Bakery,Bakery,686 Main St,North David,+1-419-752-3167
29,Martinez Mission Bakery,Bakery,249 Main St,North David,+1-616-394-2545
30,Miller Shelter Home Restaurant,Restaurant,434 Main St,South Robert,+1-678-946-1887
31,Smith Trust Restaurant,Restaurant,746 Main St,West Jennifer,+1-311-454-4139
32,Rodriguez Mission Grocery Store,Grocery Store,144 Main St,South Robert,+1-387-485-8579
33,Johnson Mission Grocery Store,Grocery Store,828 Main St,Lake Christopher,+1-300-251-9856
34,Johnson Outreach Restaurant,Restaurant,171 Main St,South Robert,+1-697-692-4502
35,Smith Community Kitchen Catering Service,Catering Service,389 Main St,Richardfort,+1-599-471-8454
36,Miller Mission Supermarket,Supermarket,159 Main St,Port Sarah,+1-503-422-1958
37,Rodriguez Foundation Bakery,Bakery,766 Main St,West Jennifer,+1-258-251-8811
38,Rodriguez Community Kitchen Bakery,Bakery,59 Main St,Lake Christopher,+1-282-390-2122
39,Johnson Outreach Bakery,Bakery,414 Main St,Lake Jessica,+1-783-452-1651
40,Johnson Trust Bakery,Bakery,674 Main St,Jameschester,+1-778-735-6183
